               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11078,            0.018586,            0.044857,            0.019186,             0.11212,           0.0089863,           0.0014437,            0.073963,            0.014192,            0.036484,              0.0012,              0.0012,              0.0892
                   1,            0.089832,            0.020058,            0.037022,            0.056496,             0.27879,            0.046451,            0.010239,            0.063184,            0.014164,             0.03178,           0.0024835,           0.0024835,            0.077484
                   2,            0.073934,              0.0215,            0.029576,             0.67851,             0.22211,             0.12683,            0.024557,            0.059012,            0.011868,            0.024068,           0.0037498,           0.0037498,             0.06575
                   3,            0.068829,            0.022789,            0.027235,              0.6329,             0.21111,             0.12531,            0.024529,            0.065214,            0.010766,            0.019376,            0.004999,            0.004999,            0.053999
                   4,            0.071878,            0.018681,            0.024179,             0.63432,                 0.2,             0.11999,            0.021408,             0.06741,            0.013447,            0.017619,            0.006231,            0.006231,            0.042231
                   5,            0.069834,            0.018537,            0.026067,             0.72954,             0.18889,             0.15959,            0.047118,             0.06041,            0.010321,            0.015269,           0.0074459,           0.0074459,            0.030446
                   6,            0.063913,            0.020094,             0.02341,             0.65083,             0.17758,            0.099296,            0.027997,            0.060427,            0.011234,            0.016412,           0.0086436,           0.0086436,            0.018644
                   7,            0.067452,            0.017426,            0.021963,             0.13745,             0.60404,             0.19128,            0.043457,            0.060367,            0.010667,              0.0156,            0.009538,            0.009538,            0.009538
                   8,            0.068368,            0.018179,            0.022891,             0.23908,             0.59192,             0.25342,            0.085072,            0.052878,           0.0083444,             0.01736,            0.009538,            0.009538,            0.009538
                   9,            0.063304,            0.017629,            0.022993,             0.15816,             0.53737,             0.18459,            0.033966,            0.052139,           0.0086854,            0.023473,            0.009472,            0.009472,            0.009472
                  10,            0.061243,            0.017923,            0.022182,             0.35261,             0.47879,             0.28312,            0.074666,             0.05381,           0.0081198,            0.021534,            0.009406,            0.009406,            0.009406
                  11,            0.053796,            0.016667,            0.021387,              0.3827,             0.50303,             0.33935,             0.10428,            0.042496,           0.0083809,            0.021268,             0.00934,             0.00934,             0.00934
                  12,            0.050967,            0.016999,            0.023939,             0.17981,             0.64949,             0.26822,            0.066759,            0.056828,           0.0075537,             0.02021,            0.009274,            0.009274,            0.009274
                  13,            0.053824,            0.015107,            0.021303,             0.29823,              0.5656,             0.39654,             0.17763,            0.040944,           0.0074023,            0.018306,            0.009208,            0.009208,            0.009208
